153 153 12,24,21,5,11,23,19,4,10,22,17,3,6,9,15,20,2,8,14,18,1,7,13,16,0
152 152 22,24,15,9,21,20,13,3,16,18,11,2,4,7,23,14,8,6,19,12,1,5,17,10,0
157 157 20,24,15,5,19,23,13,4,16,18,11,3,6,9,22,14,2,8,21,12,1,7,17,10,0
155 155 24,23,5,15,21,12,4,14,20,10,3,13,16,19,22,2,8,18,11,1,7,17,9,0,6
156 156 24,21,15,5,23,19,13,4,22,17,11,3,6,9,20,14,2,8,18,12,1,7,16,10,0
160 160 18,24,8,11,17,23,3,10,16,22,2,9,12,15,21,7,6,14,20,1,5,13,19,0,4
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
152 152 24,22,15,9,23,19,13,3,20,17,11,2,4,7,21,14,8,6,18,12,1,5,16,10,0
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
159 159 24,23,5,11,21,20,4,10,16,18,3,9,12,15,22,2,8,14,19,1,7,13,17,0,6
156 156 22,24,15,5,21,19,13,4,20,17,11,3,6,9,23,14,2,8,18,12,1,7,16,10,0
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
155 155 18,24,15,9,17,23,6,8,16,22,4,7,10,13,21,14,2,12,20,5,1,11,19,3,0
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
159 159 18,24,8,11,17,23,6,10,16,22,3,9,12,15,21,7,4,14,20,5,1,13,19,2,0
155 155 18,24,15,9,17,23,13,3,16,22,11,2,4,7,21,14,8,6,20,12,1,5,19,10,0
156 156 24,14,8,17,23,12,5,16,22,10,3,15,18,21,13,7,6,20,11,4,1,19,9,2,0
153 153 12,24,23,5,11,21,20,4,10,16,18,3,6,9,15,22,2,8,14,19,1,7,13,17,0
159 159 18,24,8,11,17,23,6,10,16,22,1,9,12,15,21,7,4,14,20,5,3,13,19,0,2
155 155 18,24,15,7,17,23,13,6,16,22,1,5,8,11,21,14,4,10,20,12,3,9,19,0,2
154 154 20,24,8,13,19,23,3,12,18,10,2,11,14,17,22,7,6,16,21,1,5,15,9,0,4
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
152 152 24,5,11,19,23,4,10,18,16,3,9,17,20,22,2,8,14,21,1,7,13,15,0,6,12
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
152 152 24,23,8,13,21,20,6,12,18,10,4,11,14,17,22,7,2,16,19,5,1,15,9,3,0
153 153 16,24,22,5,15,23,13,4,14,20,11,3,6,9,19,21,2,8,18,12,1,7,17,10,0
156 156 24,21,15,5,23,19,13,4,22,17,11,3,6,9,20,14,2,8,18,12,1,7,16,10,0
160 160 18,24,7,11,17,23,3,10,16,22,2,9,12,15,21,6,8,14,20,1,5,13,19,0,4
152 152 24,21,8,15,23,12,6,14,22,10,1,13,16,19,20,7,4,18,11,5,3,17,9,0,2
153 153 20,24,8,13,19,23,6,12,18,10,3,11,14,17,22,7,4,16,21,5,1,15,9,2,0
152 152 24,5,11,19,23,4,10,18,16,3,9,17,20,22,2,8,14,21,1,7,13,15,0,6,12
152 152 24,22,8,13,23,19,5,12,20,10,3,11,14,17,21,7,6,16,18,4,1,15,9,2,0
156 156 24,14,8,17,23,12,6,16,22,10,4,15,18,21,13,7,2,20,11,5,1,19,9,3,0
159 159 24,22,5,11,23,20,4,10,16,18,3,9,12,15,21,2,8,14,19,1,7,13,17,0,6
157 157 24,14,7,17,23,12,3,16,22,10,2,15,18,21,13,6,8,20,11,1,5,19,9,0,4
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
153 153 12,24,21,5,11,23,19,4,10,22,17,3,6,9,15,20,2,8,14,18,1,7,13,16,0
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
153 153 24,14,7,19,23,12,3,18,16,10,2,17,20,22,13,6,8,21,11,1,5,15,9,0,4
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
156 156 24,14,8,17,23,12,6,16,22,10,3,15,18,21,13,7,4,20,11,5,1,19,9,2,0
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
156 156 12,18,24,5,11,17,23,4,10,16,22,3,6,9,15,21,2,8,14,20,1,7,13,19,0
155 155 22,24,5,15,21,12,4,14,20,10,3,13,16,19,23,2,8,18,11,1,7,17,9,0,6
155 155 18,24,15,9,17,23,5,8,16,22,2,7,10,13,21,14,6,12,20,4,3,11,19,1,0
156 156 24,14,8,17,23,12,6,16,22,10,2,15,18,21,13,7,4,20,11,5,3,19,9,1,0
153 153 12,24,22,5,11,23,20,4,10,18,17,3,6,9,15,21,2,8,14,19,1,7,13,16,0
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
160 160 20,24,5,11,19,23,4,10,18,17,3,9,12,15,22,2,8,14,21,1,7,13,16,0,6
159 159 22,24,5,11,21,19,4,10,20,17,3,9,12,15,23,2,8,14,18,1,7,13,16,0,6
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
160 160 20,24,5,11,19,23,4,10,16,18,3,9,12,15,22,2,8,14,21,1,7,13,17,0,6
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
156 156 12,18,24,5,11,17,23,4,10,16,22,3,6,9,15,21,2,8,14,20,1,7,13,19,0
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
157 157 20,24,15,5,19,23,13,4,18,17,11,3,6,9,22,14,2,8,21,12,1,7,16,10,0
156 156 24,23,15,5,21,19,13,4,20,17,11,3,6,9,22,14,2,8,18,12,1,7,16,10,0
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
160 160 18,24,8,11,17,23,3,10,16,22,2,9,12,15,21,7,6,14,20,1,5,13,19,0,4
159 159 18,24,8,11,17,23,6,10,16,22,1,9,12,15,21,7,4,14,20,5,3,13,19,0,2
152 152 14,20,24,5,13,19,23,4,12,18,11,3,6,9,17,22,2,8,16,21,1,7,15,10,0
159 159 24,22,5,11,23,19,4,10,20,17,3,9,12,15,21,2,8,14,18,1,7,13,16,0,6
154 154 12,20,24,5,11,19,23,4,10,18,17,3,6,9,15,22,2,8,14,21,1,7,13,16,0
153 153 20,24,15,9,19,23,13,3,18,17,11,2,4,7,22,14,8,6,21,12,1,5,16,10,0
160 160 20,24,5,11,19,23,4,10,16,18,3,9,12,15,22,2,8,14,21,1,7,13,17,0,6
157 157 24,14,7,17,23,12,3,16,22,10,2,15,18,21,13,6,8,20,11,1,5,19,9,0,4
152 152 24,21,15,7,23,19,13,6,22,17,4,5,8,11,20,14,2,10,18,12,1,9,16,3,0
153 153 12,22,24,5,11,21,19,4,10,20,17,3,6,9,15,23,2,8,14,18,1,7,13,16,0
157 157 20,24,8,11,19,23,6,10,18,17,4,9,12,15,22,7,2,14,21,5,1,13,16,3,0
154 154 12,20,24,5,11,19,23,4,10,16,18,3,6,9,15,22,2,8,14,21,1,7,13,17,0
160 160 20,24,5,11,19,23,4,10,18,17,3,9,12,15,22,2,8,14,21,1,7,13,16,0,6
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
153 153 16,22,24,5,15,21,13,4,14,20,11,3,6,9,19,23,2,8,18,12,1,7,17,10,0
155 155 24,21,5,13,23,19,4,12,22,10,3,11,14,17,20,2,8,16,18,1,7,15,9,0,6
141 141 8,18,24,15,7,17,23,13,6,16,22,1,2,5,11,21,14,4,10,20,12,3,9,19,0
156 156 24,5,11,17,23,4,10,16,22,3,9,15,18,21,2,8,14,20,1,7,13,19,0,6,12
155 155 24,14,5,19,23,12,4,18,16,10,3,17,20,22,13,2,8,21,11,1,7,15,9,0,6
159 159 18,24,8,11,17,23,6,10,16,22,3,9,12,15,21,7,4,14,20,5,1,13,19,2,0
155 155 24,14,5,19,23,12,4,18,16,10,3,17,20,22,13,2,8,21,11,1,7,15,9,0,6
153 153 24,7,11,17,23,5,10,16,22,2,9,15,18,21,6,8,14,20,4,3,13,19,1,0,12
159 159 18,24,15,5,17,23,13,4,16,22,11,3,6,9,21,14,2,8,20,12,1,7,19,10,0
156 156 24,21,15,5,23,19,13,4,22,17,11,3,6,9,20,14,2,8,18,12,1,7,16,10,0
162 162 18,24,5,11,17,23,4,10,16,22,3,9,12,15,21,2,8,14,20,1,7,13,19,0,6
156 156 24,14,8,17,23,12,6,16,22,10,4,15,18,21,13,7,2,20,11,5,1,19,9,3,0
157 157 24,14,7,17,23,12,3,16,22,10,2,15,18,21,13,6,8,20,11,1,5,19,9,0,4
159 159 18,24,8,11,17,23,5,10,16,22,3,9,12,15,21,7,6,14,20,4,1,13,19,2,0
153 153 24,14,7,17,23,12,6,16,22,2,5,15,18,21,13,4,10,20,11,3,9,19,1,0,8
157 157 20,24,15,5,19,23,13,4,18,17,11,3,6,9,22,14,2,8,21,12,1,7,16,10,0
160 160 20,24,5,11,19,23,4,10,18,17,3,9,12,15,22,2,8,14,21,1,7,13,16,0,6
159 159 24,14,5,17,23,12,4,16,22,10,3,15,18,21,13,2,8,20,11,1,7,19,9,0,6
